filename,size_bytes,md5,zenodo_status
mangrove_data_lulc_convert.tar.gz,51685949,b755a23e763c46731c137f82dd53d798,ok
mangrove_data_lulc_mangrove.tar.gz,38589493,e6c2669c8503d3cfaeb6ba7dcb475ff8,ok
mangrove_data_ntl_vi_model.tar.gz,42200446,093b4881528fe374400bc81f19bc57cc,ok
mangrove_data_population.tar.gz,267216579,682fcdc59fd8df6160a98bd326b6b7d3,ok
mangrove_data_tables_vectors.tar.gz,14365498,47ecba96fdc72b489e819a43116eae1f,ok
mangrove_research_code.tar.gz,4248085,d3061f0f9d4baaa59b7802006c17d817,ok
